retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,Temp,Humidity
-54.71428571,-9,-26.42857143,-54.57142857,-40.57142857,21.28571429,18.85714286,76.14285714
-54.85714286,-9.571428571,-30.42857143,-54.57142857,-40.42857143,21.42857143,17.7,83.14285714
-54.71428571,-10.14285714,-32.57142857,-54.42857143,-40.14285714,21.42857143,16.81428571,88.42857143
-52.57142857,-6.714285714,-26,-53,-39.28571429,21,16.8,88
-52.28571429,-7.428571429,-25.42857143,-52.57142857,-39,21,16.68571429,88.14285714
-51,-6,-21.28571429,-51.85714286,-38.57142857,20.71428571,17.02857143,85.42857143
-49.57142857,-4.857142857,-17,-50.85714286,-37.71428571,20.14285714,17.48571429,84
-48.28571429,-4.142857143,-12.71428571,-50,-37,19.57142857,18.72857143,82.71428571
-46.85714286,-3.857142857,-9.714285714,-49,-36.14285714,19,19.68571429,79.85714286
-45.28571429,-3,-6.428571429,-47.85714286,-35.28571429,18.28571429,20.45714286,76.42857143
-43.71428571,-2.571428571,-4.571428571,-46.57142857,-34.28571429,17.71428571,20.97142857,74.28571429
-42.71428571,-2.428571429,-6.571428571,-45.71428571,-33.28571429,17.42857143,21.04285714,74
-42,-3.857142857,-11.57142857,-44,-31.57142857,16.71428571,20.75714286,77
-40.28571429,-2.428571429,-9.285714286,-42.28571429,-30,15.85714286,20.95714286,77
-39.42857143,-2.428571429,-10,-41,-28.71428571,15.28571429,21.32857143,76.28571429
-38.42857143,-1.571428571,-9.428571429,-39.71428571,-27.57142857,14.71428571,21.91428571,77.71428571
-37.71428571,-1.714285714,-10.71428571,-38.71428571,-26.57142857,14.28571429,22.5,79
-37.28571429,-2.571428571,-12.42857143,-38.14285714,-26.28571429,14.14285714,22.81428571,79.85714286
-36,-2.142857143,-10.85714286,-37.28571429,-25.85714286,13.85714286,22.91428571,79
-35,-1,-6.428571429,-37.28571429,-25.71428571,13.71428571,23.42857143,76.14285714
-34.71428571,-1.428571429,-6.428571429,-37.14285714,-25.57142857,13.71428571,23.88571429,73.42857143
-34.14285714,-1.428571429,-6.571428571,-36.85714286,-25.28571429,13.57142857,24.2,71.85714286
-34.28571429,-3.142857143,-9.857142857,-36.85714286,-25.14285714,13.57142857,24.42857143,72.71428571
-33.71428571,-3.571428571,-11,-36.71428571,-25,13.42857143,24.62857143,74.14285714
-34.42857143,-5.428571429,-17.14285714,-37.14285714,-25.28571429,13.71428571,24.21428571,77.28571429
-34.57142857,-6.285714286,-23.57142857,-37.28571429,-25.14285714,13.85714286,24.17142857,81.85714286
-33.85714286,-5.714285714,-24.14285714,-37,-24.85714286,13.57142857,24.55714286,83
-33,-5.428571429,-24,-36.57142857,-24.57142857,13.28571429,24.55714286,83
-32.14285714,-5.285714286,-23.28571429,-36.14285714,-24.42857143,13.14285714,24.18571429,82.71428571
-30.85714286,-4.142857143,-20.85714286,-35.57142857,-24.14285714,12.71428571,23.75714286,82.28571429
-31.28571429,-6.142857143,-25,-35.42857143,-24.14285714,12.71428571,22.68571429,84.42857143
-28.42857143,-2.857142857,-16.14285714,-33.57142857,-23,11.71428571,22.91428571,81.14285714
-27.28571429,-2.428571429,-11.71428571,-32.71428571,-22.57142857,11.28571429,22.94285714,78.85714286
-28.28571429,-5,-16.28571429,-32.57142857,-22.71428571,11.42857143,21.98571429,80.85714286
-27.71428571,-4.714285714,-16.71428571,-32.14285714,-22.71428571,11.28571429,21.52857143,83.42857143
-27.57142857,-5,-17.42857143,-31.85714286,-22.42857143,11.14285714,21.37142857,86.42857143
-27.28571429,-4.714285714,-18.57142857,-31.28571429,-22.14285714,11.14285714,21.1,88.14285714
-25.71428571,-2.428571429,-13.28571429,-30.57142857,-21.71428571,10.71428571,21.95714286,86.14285714
-25.71428571,-2.857142857,-14.14285714,-30.28571429,-21.71428571,10.85714286,22.32857143,87.14285714
-26.42857143,-3.857142857,-18,-30.42857143,-21.85714286,11.14285714,22.37142857,89
-24.42857143,-1.428571429,-12.42857143,-29.85714286,-21.42857143,10.71428571,23.18571429,85.28571429
-25.14285714,-3,-15.57142857,-29.85714286,-21,10.85714286,23.51428571,85.85714286
-25.71428571,-4.142857143,-19.42857143,-29.71428571,-20.71428571,10.85714286,23.88571429,86.57142857
-25,-3.285714286,-17.28571429,-29.42857143,-20.42857143,10.57142857,24.7,83.42857143
-25.57142857,-3.857142857,-19.28571429,-29.28571429,-20.28571429,10.57142857,24.57142857,82.71428571
-26.42857143,-4.714285714,-23.42857143,-30,-20.28571429,10.85714286,24.32857143,83.71428571
-25.71428571,-2.857142857,-20,-29.85714286,-20,10.71428571,24.71428571,82.42857143
-27.28571429,-4.571428571,-24.85714286,-30,-20.14285714,11,24.7,85.71428571
-26.85714286,-3.428571429,-23.28571429,-29.85714286,-20.28571429,10.85714286,25.07142857,84.85714286
-26.42857143,-2.428571429,-21.14285714,-30,-20.42857143,10.85714286,25.2,84
-27.57142857,-4.428571429,-25.57142857,-30.28571429,-20.57142857,11.14285714,24.88571429,87.42857143
-27.28571429,-3.714285714,-25.42857143,-30.28571429,-20.57142857,11.14285714,25.1,88.85714286
-27.14285714,-3.142857143,-23.57142857,-30.28571429,-20.42857143,11,25.62857143,87.71428571
-27,-3.571428571,-22.28571429,-30.28571429,-20.42857143,10.85714286,25.78571429,86.85714286
-26.28571429,-2.571428571,-20.42857143,-30.28571429,-20.28571429,10.71428571,25.24285714,86.57142857
-26.71428571,-3.142857143,-21.85714286,-30.57142857,-20.42857143,10.85714286,24.54285714,88.42857143
-27,-3.714285714,-24.14285714,-30.42857143,-20.42857143,10.85714286,23.74285714,90.42857143
-26.14285714,-1.857142857,-20.28571429,-30.42857143,-20.42857143,10.71428571,23.31428571,89
-27,-3.285714286,-22.71428571,-30.85714286,-20.57142857,11,22.45714286,90.14285714
-27.57142857,-3.714285714,-25.57142857,-31.28571429,-20.57142857,11.28571429,21.44285714,92.71428571
-27.85714286,-3.857142857,-24.57142857,-31.57142857,-20.57142857,11.42857143,21.2,94
-27.57142857,-3.285714286,-23,-31.57142857,-20.42857143,11.42857143,22.04285714,92.57142857
-26.85714286,-2.571428571,-20.42857143,-31.42857143,-20.14285714,11.14285714,22.5,91.28571429
-25.85714286,-1.714285714,-18.28571429,-31.14285714,-19.85714286,10.85714286,23.38571429,90.14285714
-27.28571429,-4.428571429,-24,-35.28571429,-26.57142857,13,23.74285714,92
-26.85714286,-3.571428571,-18.71428571,-39,-33.14285714,14.71428571,24.48571429,91.42857143
-27.57142857,-4.857142857,-19.28571429,-39.71428571,-34.14285714,14.71428571,25.15714286,91.14285714
-28.42857143,-5.857142857,-24.14285714,-39.71428571,-34.42857143,14.71428571,25.34285714,91.85714286
-28.71428571,-6.285714286,-25.14285714,-39.71428571,-34.71428571,14.71428571,25.25714286,93
-29.28571429,-7,-27.14285714,-40,-34.85714286,14.85714286,25.42857143,93.28571429
-30,-7.142857143,-27,-40.71428571,-35.28571429,15.14285714,24.9,93
-28.71428571,-4.857142857,-21.42857143,-36.85714286,-28.71428571,13,24.9,90.85714286
-28.42857143,-4.428571429,-23.57142857,-33.14285714,-22,11,24.94285714,90.28571429
-27.28571429,-2.571428571,-18.42857143,-32.28571429,-20.71428571,10.71428571,25.08571429,87.28571429
-26.57142857,-1.714285714,-13.71428571,-32.42857143,-20.28571429,10.71428571,25.18571429,84.42857143
-26.28571429,-1.428571429,-12.14285714,-32.71428571,-20.28571429,10.71428571,25.31428571,82.42857143
-26,-0.714285714,-9.857142857,-32.85714286,-20.57142857,10.71428571,25.54285714,80.57142857
-25.85714286,-0.571428571,-8.857142857,-33,-20.85714286,10.71428571,26.42857143,79
-26,-0.714285714,-8.857142857,-33.28571429,-21.14285714,10.71428571,27.18571429,78.28571429
-26,-0.714285714,-8.428571429,-33.57142857,-21.71428571,10.71428571,27.85714286,75.57142857
-26,-1.142857143,-9.142857143,-33.57142857,-22.28571429,10.71428571,28.14285714,75.85714286
-25.85714286,-1.571428571,-10.57142857,-33.28571429,-22.71428571,10.42857143,28.48571429,76.14285714
-25.57142857,-2.285714286,-9,-37.42857143,-30,12.42857143,28.95714286,76
-25.57142857,-2.714285714,-10,-38.71428571,-32.28571429,13,29.44285714,74.57142857
-26,-3.857142857,-11.85714286,-40.28571429,-34.85714286,13.71428571,29.57142857,75
-26,-4.571428571,-13.28571429,-42.28571429,-38.57142857,14.71428571,29.7,75.42857143
-26,-5.142857143,-13.42857143,-44.42857143,-42.28571429,15.85714286,29.68571429,76.42857143
-26.57142857,-5.857142857,-14.85714286,-45.57142857,-45,16.14285714,30.1,76
-27.57142857,-6.428571429,-17.14285714,-46.28571429,-45.57142857,16.42857143,30.45714286,75.57142857
-28.14285714,-6.142857143,-20.28571429,-42.85714286,-39.28571429,14.71428571,30.5,76
-28.28571429,-6.142857143,-20,-42,-37.42857143,14.28571429,30.3,76.57142857
-28,-5.428571429,-18.57142857,-40.71428571,-35.14285714,13.57142857,30.15714286,75.57142857
-28,-5,-18,-39,-31.71428571,12.71428571,30.2,74.42857143
-28,-5,-18.28571429,-37,-28.14285714,11.71428571,30.3,73.57142857
-27.42857143,-4.571428571,-17.71428571,-35.85714286,-25.42857143,11.42857143,30.05714286,73.42857143
-27.14285714,-4.714285714,-17.57142857,-35.42857143,-24.71428571,11.42857143,29.25714286,75.28571429
-26.85714286,-4.714285714,-16.85714286,-35,-24,11.28571429,28.74285714,75.71428571
-26.42857143,-4.428571429,-16.57142857,-34.42857143,-23.42857143,11.14285714,28.38571429,76.28571429
-26.14285714,-4.285714286,-16.71428571,-34,-22.85714286,11.14285714,28.35714286,77
-26.28571429,-4.428571429,-17.14285714,-33.71428571,-22.28571429,11,28.3,77.71428571
-26.14285714,-4.142857143,-17.14285714,-33.42857143,-21.71428571,10.85714286,28.31428571,78.28571429
-25.85714286,-4,-16.85714286,-33.14285714,-21.42857143,10.71428571,28.45714286,78
-25.14285714,-3.285714286,-15.57142857,-32.71428571,-21.14285714,10.57142857,29.08571429,76
-25.14285714,-3.285714286,-16,-32.42857143,-20.71428571,10.42857143,29.12857143,76.14285714
-25.28571429,-3.428571429,-16,-32.28571429,-20.42857143,10.28571429,28.71428571,77.57142857
-25.71428571,-4,-17.14285714,-32.28571429,-20.28571429,10.28571429,28.42857143,79.85714286
-25.71428571,-4,-17.14285714,-32,-20.14285714,10.28571429,28.3,80.71428571
-25.85714286,-4.285714286,-17.42857143,-31.71428571,-20,10.28571429,28.17142857,80.71428571
-25.85714286,-4.142857143,-18,-31.57142857,-19.85714286,10.42857143,27.92857143,81.57142857
-26.28571429,-5,-20.85714286,-32,-20.14285714,10.71428571,27.31428571,84.57142857
-27,-6,-22.85714286,-32,-20.42857143,10.85714286,27.2,86.42857143
-26.85714286,-6,-23,-31.85714286,-20.57142857,10.85714286,27.85714286,84.71428571
-26.42857143,-5.714285714,-22,-31.57142857,-20.57142857,10.71428571,28.17142857,81.71428571
-26,-5.571428571,-21,-31.28571429,-20.57142857,10.42857143,28.07142857,81
-25.42857143,-5.285714286,-20.14285714,-31,-20.42857143,10.14285714,27.92857143,81.42857143
-25.85714286,-6.571428571,-22.85714286,-31,-20.57142857,10.28571429,27.22857143,84
-24.85714286,-5.857142857,-18.85714286,-29.85714286,-20.14285714,9.857142857,26.88571429,83.28571429
-24,-5.142857143,-16.28571429,-29.42857143,-19.57142857,9.571428571,26.41428571,82.28571429
-23.71428571,-5.142857143,-15.28571429,-29.14285714,-19.14285714,9.428571429,25.6,83.57142857
-23.42857143,-5,-14.14285714,-28.71428571,-18.85714286,9.285714286,24.88571429,84.85714286
-23.14285714,-5.285714286,-13.42857143,-28.42857143,-18.57142857,9.285714286,24.48571429,86
-23,-5.571428571,-13,-28.14285714,-18.42857143,9.142857143,24.58571429,85.28571429
-22,-4.571428571,-8.285714286,-26.85714286,-17.85714286,8.428571429,24.72857143,82.57142857
-21.71428571,-5.142857143,-8.857142857,-26,-17.71428571,8.142857143,24.57142857,81.28571429
-19.85714286,-5.142857143,-2.714285714,-29,-25.14285714,9.428571429,24.37142857,80.14285714
-19.42857143,-5.428571429,1.571428571,-32.42857143,-32.42857143,11.14285714,24.18571429,79.28571429
-20.42857143,-6.285714286,-2.714285714,-32.42857143,-32.14285714,11.14285714,23.64285714,81.28571429
-21.85714286,-7.714285714,-7.285714286,-33.28571429,-32.42857143,11.57142857,22.8,81.85714286
-22.57142857,-8.142857143,-11.28571429,-33.28571429,-32.28571429,11.85714286,21.42857143,84.85714286
-23.14285714,-8.571428571,-16.42857143,-33.85714286,-32,12.28571429,20.54285714,87.57142857
-22.85714286,-7.285714286,-15.42857143,-34.14285714,-31.57142857,12.57142857,20.18571429,88.71428571
-23.85714286,-6.428571429,-20.57142857,-30.71428571,-24,11,20.11428571,87.71428571
-23.85714286,-5.857142857,-24.85714286,-27.14285714,-16.57142857,9.142857143,19.71428571,86.42857143
-22.14285714,-4.142857143,-20,-27,-16.42857143,8.857142857,19.68571429,82.28571429
-20.57142857,-2.428571429,-16.57142857,-26.14285714,-16,8.428571429,19.75714286,81.28571429
-19.71428571,-1.714285714,-12.14285714,-26.14285714,-15.85714286,8.142857143,19.98571429,78
-18.71428571,-0.714285714,-5.857142857,-25.85714286,-16,7.857142857,20.44285714,74.71428571
-18.85714286,-1,-4.714285714,-25.71428571,-16.28571429,7.714285714,20.77142857,73.14285714
-19.42857143,-1.571428571,-5.714285714,-26,-16.28571429,7.857142857,20.8,74.57142857
-19.57142857,-1.857142857,-5.571428571,-26.14285714,-16.28571429,7.857142857,20.98571429,72.42857143
-20.42857143,-3.428571429,-8.285714286,-26.28571429,-16.42857143,8,20.74285714,73.42857143
-21.85714286,-5.285714286,-13,-26.57142857,-16.71428571,8.285714286,20.05714286,75.42857143
-23.14285714,-6.571428571,-18.85714286,-26.85714286,-17.14285714,8.714285714,19.12857143,79.28571429
-26,-9.714285714,-28,-29,-18.42857143,9.714285714,18.31428571,83
-25.85714286,-9.142857143,-31.14285714,-29.28571429,-18.28571429,9.857142857,18,85
-25.57142857,-8.857142857,-30.57142857,-29.28571429,-18.42857143,9.714285714,17.97142857,85.85714286
-25.71428571,-8.857142857,-30.71428571,-29.14285714,-18.42857143,9.714285714,18.12857143,89.71428571
-25.14285714,-8,-28.85714286,-29,-18.42857143,9.714285714,18.41428571,88.85714286
-24,-6.285714286,-26,-28.57142857,-18.14285714,9.428571429,18.71428571,86.57142857
-22.28571429,-4.571428571,-21.28571429,-28,-17.85714286,9,18.94285714,80.85714286
-20.71428571,-3.714285714,-20.42857143,-26.14285714,-17.28571429,8.428571429,18.47142857,79.85714286
-20,-3.714285714,-17.85714286,-25.14285714,-17.14285714,8.142857143,17.68571429,78.71428571
-20.85714286,-5.142857143,-21.42857143,-25.14285714,-17.14285714,8.428571429,16.48571429,79
-20.28571429,-4.571428571,-21.71428571,-25,-17.14285714,8.285714286,15.55714286,78.42857143
-20,-4.428571429,-21.14285714,-24.85714286,-17,8.142857143,14.94285714,78.71428571
-19.42857143,-4.142857143,-18.85714286,-24.85714286,-16.85714286,8,15.02857143,76.85714286
-20.28571429,-5.571428571,-22,-25.14285714,-16.85714286,8.142857143,15.12857143,81.71428571
-18.14285714,-3,-13.71428571,-24.14285714,-16.14285714,7.428571429,15.78571429,76.42857143
-17.85714286,-3,-11.28571429,-23.85714286,-16.14285714,7.285714286,15.95714286,72.42857143
-16.57142857,-1.428571429,-7.714285714,-23.57142857,-15.85714286,6.857142857,16.4,69
-16.57142857,-2,-7.714285714,-23.57142857,-15.71428571,6.857142857,16.55714286,67.57142857
-16.57142857,-2.142857143,-8.428571429,-23.71428571,-15.71428571,6.857142857,16.64285714,68.14285714
-16.42857143,-2.285714286,-7.857142857,-23.85714286,-15.57142857,6.714285714,16.62857143,66
-15.57142857,-1.428571429,-5.142857143,-23.85714286,-15.28571429,6.428571429,16.35714286,59.42857143
-16,-1.857142857,-5.571428571,-24,-15,6.571428571,15.85714286,59.14285714
-16.71428571,-2.714285714,-7.857142857,-24.57142857,-14.85714286,6.714285714,15.68571429,61.14285714
-16.42857143,-3.428571429,-9.428571429,-24.85714286,-15.42857143,6.857142857,15.6,63
-16,-4,-8.571428571,-28.57142857,-22.71428571,9,15.32857143,66.85714286
-16.42857143,-4.142857143,-8.714285714,-28.57142857,-22.28571429,8.857142857,14.91428571,63.14285714
-16.57142857,-4.142857143,-9.142857143,-28.42857143,-22.14285714,8.857142857,14.35714286,63.28571429
-16.85714286,-4.142857143,-8.857142857,-28.42857143,-22,8.857142857,14.05714286,66.14285714
-17.28571429,-4.571428571,-10.14285714,-28.71428571,-22,9,14.3,69.42857143
-17.28571429,-4.428571429,-9.428571429,-28.71428571,-22.14285714,9,14.72857143,70.28571429
-17.85714286,-4.285714286,-8.571428571,-28.71428571,-21.42857143,9,14.42857143,65.42857143
-18.28571429,-3.714285714,-9.571428571,-25.14285714,-14,7,14.01428571,59.42857143
-17.85714286,-3.714285714,-9.714285714,-25.28571429,-14.28571429,7.142857143,13.75714286,59.57142857
-17.85714286,-3.857142857,-10.57142857,-25.42857143,-14.42857143,7.285714286,13.3,60.57142857
-17.57142857,-3.714285714,-9.857142857,-25.42857143,-14.57142857,7.428571429,13.42857143,60.57142857
-17.14285714,-3.285714286,-8.571428571,-25.28571429,-14.85714286,7.285714286,13.31428571,57.57142857
-17,-3,-8.285714286,-25.28571429,-14.85714286,7.285714286,12.75714286,56.14285714
-17,-2.857142857,-7.571428571,-25.28571429,-15,7.285714286,12.92857143,59.28571429
-17.28571429,-3.142857143,-7.285714286,-25.42857143,-15.14285714,7.142857143,13.4,61
-17.57142857,-3.142857143,-6.285714286,-25.42857143,-15.28571429,7.142857143,13.95714286,65.14285714
-17.71428571,-3.142857143,-5,-25.42857143,-15.28571429,7.142857143,15.22857143,66.71428571
-18.28571429,-3.285714286,-5.857142857,-25.57142857,-15.42857143,7.142857143,16.4,67.57142857
-19,-3.571428571,-6.714285714,-25.85714286,-15.42857143,7.142857143,16.67142857,66.14285714
-19.14285714,-4.142857143,-6.714285714,-25.85714286,-15.57142857,7,16.9,66.28571429
-18.85714286,-4.571428571,-3,-29.57142857,-23.14285714,9,17.01428571,64.57142857
-19.57142857,-4.714285714,-5.285714286,-29.71428571,-23,9.142857143,16.52857143,63.71428571
-20.14285714,-5,-9.571428571,-29.71428571,-22.85714286,9.285714286,15.77142857,66.14285714
-20,-4.571428571,-9.857142857,-29.71428571,-22.85714286,9.285714286,14.87142857,67.14285714
-20,-4.714285714,-10.57142857,-29.85714286,-22.71428571,9.285714286,13.4,67.85714286
-19.85714286,-4.571428571,-11.42857143,-30.14285714,-22.42857143,9.428571429,12.71428571,69.28571429
-20.42857143,-4.428571429,-14.28571429,-31,-22.42857143,9.857142857,12.01428571,67.85714286
